"","ID_JF","N","niche.mean","niche.med","niche.sd","bio","long","lat","Temp","Alt","Area","Brealm"
"52","EAJF421856",1000,0.346263158053,0.368421053,0.183108454075245,0.057726,3.5,43.8,12.1,115,63,"Palearctic"
"53","EAJF423672",1000,0.325105263306,0.315789474,0.19620759370661,0.029574,1.5,44,12.7,65,112,"Palearctic"
"54","EAJF434188",1000,0.332157894869,0.368421053,0.196663592196163,0.016366,1.3,45.2,11.7,13,58,"Palearctic"
"55","EAJF43491",1000,0.209736842295,0.210526316,0.118389877061474,0.708164,141.9,-6.4,26.6,51,139,"Australian"
"56","EAJF435390",1000,0.324578947471,0.315789474,0.211872775159093,0.171796,9.1,45.3,12.3,67,134,"Palearctic"
"57","EAJF440917",1000,0.338000000107,0.315789474,0.197925935676396,0.063458,5.7,45.7,9.8,69,2,"Palearctic"
"58","EAJF441536",1000,0.342894737026,0.315789474,0.170238851483983,0.013217,-0.1,45.8,12.8,70,1,"Palearctic"
"59","EAJF446340",1000,0.270105263302,0.263157895,0.171737279343187,0.20361,20.3,46.4,10.9,56,140,"Palearctic"
"60","EAJF450677",1000,0.374105263295,0.368421053,0.181485301615986,0.019215,1.6,46.9,11.4,5,15,"Palearctic"
"61","EAJF455183",1000,0.360947368577,0.368421053,0.188408193005904,0.013001,-1.9,47.9,11.7,7,5,"Palearctic"
"62","EAJF457091",1000,0.391000000117,0.368421053,0.187027976981576,0.020124,3.3,48.7,10.4,109,131,"Palearctic"
"63","EAJF458997",1000,0.338315789589,0.315789474,0.192333463260558,0.041836,8.2,49.2,10,54,51,"Palearctic"
"64","EAJF460275",1000,0.220631579133,0.210526316,0.138512697967373,0.254098,126.2,49.5,-1.2,43,47,"Palearctic"
"65","EAJF461125",1000,0.387526315901,0.368421053,0.161576852686076,0.014658,2.5,49.9,9.7,27,118,"Palearctic"
"66","EAJF462623",1000,0.358263158016,0.368421053,0.175389205800901,0.019776,5.4,50.4,8.7,124,87,"Palearctic"
"67","EAJF466057",1000,0.339263158022,0.315789474,0.175494569733869,0.022941,13.1,51.2,9.3,24,30,"Palearctic"
"68","EAJF469215",1000,0.461789473775,0.473684211,0.154826124905261,0.01319,-0.8,51.6,9.3,36,11,"Palearctic"
"69","EAJF471063",1000,0.346421052778,0.315789474,0.165510752742081,0.068607,21.5,51.7,7.9,26,46,"Palearctic"
"70","EAJF471873",1000,0.376315789588,0.368421053,0.176254621703723,0.042079,16.9,51.8,8.3,147,17,"Palearctic"
"71","EAJF473143",1000,0.358421052762,0.368421053,0.173418910131953,0.012066,9.6,52,7.4,118,103,"Palearctic"
"72","EAJF475339",1000,0.435842105316,0.473684211,0.145168224317152,0.012632,0.1,52.3,10,137,146,"Palearctic"
"73","EAJF480215",1000,0.424526315899,0.421052632,0.142348319769862,0.012647,-1.4,53,9.2,116,13,"Palearctic"
"74","EAJF516184",1000,0.338210526452,0.315789474,0.164209330635016,0.082049,47.4,56,3.9,21,26,"Palearctic"
"75","NAJF11945",1000,0.317894736986,0.263157895,0.156973587407321,0.066917,-103.8,56.3,-2.6,141,153,"Nearctic"
"76","NAJF120990",1000,0.336736842271,0.368421053,0.175482814005865,0.100783,-122.4,52.4,2.8,60,56,"Nearctic"
