"","GRIDCODE","lat","long","SST","Prod","Dist","bio","TL.mean","TL.med"
"83",191,21,-96,25.9,0.05,136,0.415093546,3.62407232852725,3.5
"84",192,21,-88,27.1,-0.05,0,0.461430044,3.56716719851438,3.5
"85",193,21,-80,26.8,0,51,0.519611481,3.61498958360104,3.5
"86",194,21,-72,26.6,-0.14,151,0.478194633,3.54719424392703,3.5
"87",195,21,-64,26.4,-0.13,373,0.415490533,3.58420395419251,3.5
"88",196,21,-56,25.9,-0.06,1071,0.323752581,3.68473041570092,3.61
"89",199,21,-32,23.9,-0.14,1539,0.326255494,3.637870000174,3.5
"90",200,21,-24,22.6,-0.15,726,0.417572176,3.66773869526633,3.51
"91",201,21,-16,18.9,0.08,0,0.474864318,3.64634368677254,3.55
"92",207,21,32,27.5,0.07,0,0.263033962,3.45470468325255,3.44
"93",208,21,40,27.5,0.07,0,0.301485951,3.50808121637259,3.46
"94",210,21,56,27.2,-0.06,0,0.380068315,3.54162162085886,3.5
"95",211,21,64,26.5,-0.2,432,0.36160969,3.63680402050452,3.55
"96",212,21,72,26.3,-0.03,0,0.38618606,3.6505443548629,3.57
"97",213,21,80,27,-0.05,0,0.32988628,3.5244782149615,3.5
"98",214,21,88,27.4,-0.11,46,0.430425402,3.54691191551088,3.5
"99",215,21,96,27.1,-0.02,0,0.373666473,3.5844258874238,3.5
"100",216,21,104,22.8,0,0,0.347263368,3.40479549829346,3.5
"101",217,21,112,25.5,-0.14,46,0.589437076,3.5845858574202,3.5
"102",218,21,120,26.7,-0.02,105,0.77160941,3.5216373748101,3.5
"103",219,21,128,26.4,-0.07,711,0.590714339,3.46055332169718,3.43
"104",227,13,-168,26.9,-0.1,1469,0.335943029,3.486670002729,3.41
"105",234,13,-112,27.6,-0.09,1106,0.262327116,3.653100000713,3.71
"106",236,13,-96,28.1,-0.14,313,0.335677885,3.62349499877,3.535
"107",237,13,-88,27.4,-0.16,34,0.478112378,3.54200939414301,3.5
"108",238,13,-80,27.6,-0.04,355,0.485781202,3.57497518114891,3.5
"109",239,13,-72,26.9,-0.04,55,0.450662302,3.59212708251146,3.5
"110",240,13,-64,26.9,0.2,240,0.470487039,3.58431846477593,3.5
"111",241,13,-56,27.5,-0.02,650,0.430884072,3.5164699792619,3.5
"112",242,13,-48,26.7,-0.15,1029,0.301074114,3.65683890551368,3.62
"113",243,13,-40,26,-0.1,1500,0.295965121,3.616560000032,3.49
"114",245,13,-24,26.5,-0.13,784,0.405226634,3.64676352612325,3.56
"115",246,13,-16,23.9,-0.07,0,0.475687917,3.66142142201101,3.56
"116",253,13,40,28.1,-0.14,0,0.353111928,3.53084591933837,3.5
"117",254,13,48,27.7,-0.12,115,0.428173837,3.54062248967972,3.5
"118",255,13,56,27,-0.09,470,0.423615312,3.50446446213714,3.47
"119",256,13,64,27.8,-0.04,950,0.282697845,3.53134999913,3.4
"120",257,13,72,28.5,-0.14,299,0.495084455,3.52768145164617,3.5
"121",258,13,80,28.6,-0.12,0,0.53287188,3.59039614888247,3.5
"122",259,13,88,28.7,-0.07,749,0.436721604,3.453389999555,3.45
"123",260,13,96,28.3,0.08,280,0.532381019,3.5466304523198,3.5
"124",261,13,104,28.8,0.15,0,0.494759556,3.54585050505152,3.5
"125",262,13,112,27.9,-0.02,278,0.573665452,3.51445774605936,3.5
"126",263,13,120,28.1,0.05,55,0.686432042,3.50097165865992,3.5
"127",264,13,128,28.6,-0.06,296,0.608192685,3.42107723626524,3.425
"128",265,13,136,28.6,-0.06,1142,0.412776783,3.49378650732427,3.49
"129",266,13,144,28.6,-0.02,1785,0.434924257,3.46986882021191,3.47
