"","GRIDCODE","lat","lat.t","long","N","niche.mean","niche.med","niche.sd","niche.min","niche.max","niche.range","SST","Prod","Dist","bio"
"39",63,52,142,-40,1000,0.205290322738,0.161290323,0.161588745118232,0.032258065,0.838709677,0.806451612,10.1,-0.04,1096,0.242403964
"40",64,52,142,-32,1000,0.16080645179,0.129032258,0.0990811542711462,0.032258065,0.419354839,0.387096774,10.9,-0.1,1497,0.238514244
"41",65,52,142,-24,1000,0.142516129191,0.129032258,0.0904903116315992,0.032258065,0.451612903,0.419354838,13,-0.14,960,0.239713919
"42",66,52,142,-16,1000,0.184129032375,0.161290323,0.120104873451065,0.032258065,0.774193548,0.741935483,13.4,-0.06,385,0.283428324
"43",67,52,142,-8,1000,0.210903225915,0.193548387,0.136312414283276,0.032258065,0.838709677,0.806451612,11.8,-0.19,8,0.325517961
"44",68,52,142,0,1000,0.240032258185,0.225806452,0.149177086703309,0.032258065,0.838709677,0.806451612,10.8,0.01,1,0.280437736
"45",69,52,142,8,1000,0.253935483985,0.225806452,0.161001439636427,0.032258065,0.838709677,0.806451612,10.6,-0.14,0,0.191532834
"46",70,52,142,16,1000,0.257580645268,0.225806452,0.168441596033263,0.032258065,0.838709677,0.806451612,9.9,-0.13,0,0.216635787
"47",86,52,142,144,1000,0.169709677593,0.129032258,0.105427925046422,0.032258065,0.419354839,0.387096774,9.6,-0.2,0,0.249225975
"48",88,52,142,160,1000,0.220709677633,0.225806452,0.115697675005633,0.032258065,0.483870968,0.451612903,7.1,-0.47,119,0.222576513
"49",89,52,142,168,1000,0.212612903415,0.225806452,0.112662955849092,0.032258065,0.483870968,0.451612903,5.8,-0.05,573,0.19196761
"50",90,52,142,176,1000,0.192645161465,0.193548387,0.0999626298892264,0.032258065,0.483870968,0.451612903,6.4,-0.29,977,0.183481749
"51",95,40,130,-144,1000,0.153451613145,0.161290323,0.0806981065591644,0.032258065,0.35483871,0.322580645,14.3,-0.16,1677,0.267364709
"52",96,40,130,-136,1000,0.141903225999,0.129032258,0.0866957435841748,0.032258065,0.35483871,0.322580645,14.3,-0.28,990,0.279060981
"53",97,40,130,-128,1000,0.158000000176,0.129032258,0.0880772237204424,0.032258065,0.419354839,0.387096774,13.4,-0.13,314,0.369912739
"54",98,40,130,-120,1000,0.173451613072,0.161290323,0.104952575607932,0.032258065,0.64516129,0.612903225,11.9,-0.14,0,0.332686398
"55",103,40,130,-80,1000,0.266516129174,0.225806452,0.175689570449581,0.032258065,0.838709677,0.806451612,12.1,0.1,0,0.309327798
"56",104,40,130,-72,1000,0.184387096938,0.161290323,0.13491754453689,0.032258065,0.838709677,0.806451612,12.3,-0.07,97,0.463362897
"57",105,40,130,-64,1000,0.174064516309,0.129032258,0.13084865721373,0.032258065,0.838709677,0.806451612,10.8,-0.2,411,0.446071715
"58",106,40,130,-56,1000,0.178032258221,0.129032258,0.145153716161736,0.032258065,0.838709677,0.806451612,12.7,-0.14,748,0.369943063
"59",107,40,130,-48,1000,0.196967742063,0.161290323,0.158809963628456,0.032258065,0.838709677,0.806451612,10.9,-0.19,851,0.284687278
"60",108,40,130,-40,1000,0.134096774404,0.096774194,0.0910244236057774,0.032258065,0.483870968,0.451612903,17.1,-0.11,1298,0.261041828
"61",109,40,130,-32,1000,0.151258064666,0.129032258,0.0964360555171927,0.032258065,0.451612903,0.419354838,17.8,-0.16,1944,0.328535902
"62",110,40,130,-24,1000,0.150064516298,0.129032258,0.0967305701448446,0.032258065,0.548387097,0.516129032,17.4,-0.14,1256,0.341549219
"63",111,40,130,-16,1000,0.155129032424,0.129032258,0.107393693495292,0.032258065,0.709677419,0.677419354,15.8,-0.18,577,0.327966395
"64",112,40,130,-8,1000,0.178935484017,0.161290323,0.11413297689538,0.032258065,0.838709677,0.806451612,15.6,-0.23,0,0.450174828
"65",113,40,130,0,1000,0.186548387236,0.161290323,0.1253382851604,0.032258065,0.774193548,0.741935483,14.7,0.16,0,0.375347002
"66",114,40,130,8,1000,0.190064516282,0.161290323,0.116796671426023,0.032258065,0.774193548,0.741935483,17,0.15,35,0.311905492
"67",115,40,130,16,1000,0.188645161439,0.161290323,0.122228923356053,0.032258065,0.774193548,0.741935483,18,-0.12,0,0.311744747
"68",116,40,130,24,1000,0.194645161424,0.161290323,0.124667214695906,0.032258065,0.774193548,0.741935483,16.4,-0.5,1,0.289945478
"69",128,40,130,120,1000,0.15735483888,0.161290323,0.0755183033840047,0.032258065,0.290322581,0.258064516,13,-0.2,3,0.212526311
"70",129,40,130,128,1000,0.148677419605,0.129032258,0.0999464929515608,0.032258065,0.387096774,0.354838709,11.8,-0.2,197,0.434284937
"71",130,40,130,136,1000,0.13996774215,0.129032258,0.0852068306741599,0.032258065,0.387096774,0.354838709,13.7,-0.2,317,0.579306501
"72",131,40,130,144,1000,0.136677419581,0.129032258,0.0851747471713675,0.032258065,0.419354839,0.387096774,12.4,-0.44,175,0.520338956
"73",132,40,130,152,1000,0.152709677695,0.161290323,0.0899127395568388,0.032258065,0.35483871,0.322580645,12.7,-0.29,850,0.363757357
